packet_size,flow_duration,request_frequency,token_entropy,geo_velocity,trust_score,label
544.0,2.931894759276514,6,7.717763068257249,0.91985735135593,77.0,0
276.0,1.334684493396128,4,7.63551842665484,22.80890726142015,85.0,0
663.0,1.0430872916478222,7,7.65784420063858,5.788203062426138,77.0,0
370.0,0.3905794285778244,5,7.581881357731483,5.935525833913193,72.0,0
467.0,3.678452204913913,4,7.639108936347369,9.30114096965909,77.0,0
545.0,2.6581460918704023,5,7.6090661313001,0.3298933615229163,58.0,0
588.0,2.6974136431995968,5,7.300093953114183,1.1282867591866328,73.0,0
443.0,0.8323242824033886,3,7.493591371794128,11.572127302778934,84.0,0
516.0,3.210208960518043,5,7.282311618103883,0.3673588933448746,79.0,0
177.0,0.4391694718108829,4,7.496142972057453,3.298841509356358,89.0,0
300.0,0.0074320476469419,4,7.779952275714836,18.301844853120414,80.0,0
513.0,0.7451511059813539,3,7.418499219174634,15.09529309024748,100.0,1
241.0,7.949788338034776,5,7.364452200292332,10.740365049699223,84.0,0
501.0,2.7748842431358867,29,7.536006159927332,11.332910200286417,80.0,1
749.0,2.969761635932938,5,7.56997115315929,1.198506764347742,76.0,0
507.0,2.8530548635725084,2,7.643718086284408,3.935189893902274,71.0,0
548.0,7.737410485703775,5,7.507451564887003,9.112512877363327,88.0,0
380.0,0.18812557569020286,7,7.500815723204523,44.736203676071455,100.0,1
227.0,3.001375484258942,3,7.290197600389894,16.679837664150483,89.0,0
561.0,4.040529270320891,4,7.52058190636976,11.220373119726464,95.0,0
650.0,1.2471845419609109,5,7.267618382673655,4.773688176739626,58.0,0
417.0,1.4622868119476968,7,7.442804940727617,25.434509554557145,76.0,0
467.0,3.750366785200984,4,7.945488890395781,2.390078142215465,76.0,0
395.0,3.411353689727129,4,7.709075472062385,13.31506225681864,97.0,0
534.0,6.148915882870886,7,7.780492490720208,13.574863316427708,86.0,0
863.0,4.700336856847181,6,7.568006244795064,21.5571628551599,87.0,0
403.0,0.1536413100330643,12,7.6138321628780385,5.576979194705915,91.0,0
698.0,0.2853288816846991,6,7.475662419206306,14.07880789660897,86.0,0
279.0,0.674879726858381,2,7.222521552738126,4.414957309483225,100.0,1
293.0,2.8408189707171,6,7.491182462265622,23.069133988231183,75.0,0
1514.0526870308042,4.172773581913721,1,7.417581545150105,5.472029399923582,91.0,1
259.0,4.768118932451699,12,7.1643985871256,11.695928175281336,76.0,0
524.0,0.8285350281779409,7,7.360397242230698,0.8705057832197233,69.0,0
1563.477766263195,0.4961396239022556,7,7.679552618983772,16.249196675579242,73.0,1
580.0,3.2775930122178445,6,7.305919285310396,8.476742763833492,68.0,0
450.0,2.34318824146212,3,7.505558588392397,12.410953659035757,86.0,0
523.0,6.695481089816872,4,7.673098597372037,4.142131399661221,87.0,0
389.0,1.62037781947125,2,7.972979937116246,0.0330948493548978,78.0,0
286.0,0.4862530256198391,5,7.205684023765466,2.209828723817468,89.0,0
442.0,0.089669697286275,2,7.244559505868779,38.20328678354348,70.0,0
566.0,0.78490313183739,3,7.585974469649625,4.486238587950188,90.0,0
495.0,0.6682700018913922,6,7.847796481888034,6.529333778987931,88.0,0
418.0,0.6469761990828274,5,7.359971381979351,43.40434144942368,69.0,0
395.0,4.3485398516649,4,7.052403183869162,13.371226778723996,78.0,0
393.0,4.0053325559442445,5,7.500564892200128,13.292562516279972,76.0,0
719.0,1.740673923493955,2,7.632388874455145,27.22674910367132,88.0,0
443.0,0.0850461064346824,4,7.34145023937138,7.525838792165579,67.0,0
363.0,0.7034266184357869,5,7.205093897562703,13.393804348342648,79.8158988071827,1
529.0,0.5886374559401266,6,7.618408099908308,11.235231405940354,64.0,0
1653.371297525256,0.0743672197669033,4,7.527903829957111,7.391552953827452,100.0,1
597.0,1.9674028982096925,5,7.742169601337594,4.688438415412798,78.0,0
169.0,2.122527011028455,19,7.47398814106102,5.37234160682548,96.0,1
515.0,0.4233013099118057,5,7.656914553776655,1.29255779763847,70.0,0
312.0,0.8858044581941623,3,7.500295423105215,20.138893754279028,70.0,0
708.0,2.012767940317263,7,7.7301041816182785,10.90929716863882,76.0,0
393.0,0.1726577216393193,4,7.750740812657208,15.69807637395942,80.0,0
588.0,0.3571078798828706,4,7.665208815980359,0.4284662421993077,83.0,0
447.0,0.70248006186947,9,7.356096040334278,1.84938463896874,83.8158988071827,1
294.0,0.9449578278477212,5,7.256799662493195,17.833034254762122,88.0,0
415.0,1.365986376473535,7,7.817231627198875,29.074996420482112,93.0,0
637.0,0.5448208670824888,3,7.517424128903983,5.047950960693952,88.0,0
890.3179480863109,8.604096915607006,9,7.16449277193378,2.696223550410346,91.0,1
285.0,4.002981057989695,6,7.653208713841067,24.440551202685224,85.0,0
440.0,1.220223208373194,24,7.450512273863165,68.27264181988775,82.0,1
266.0,3.082425422697741,4,7.61009004245465,10.01726346054081,91.0,0
546.0,2.852517253166689,5,7.526613129777461,2.271683313798373,95.0,0
583.0,1.3860864214473103,21,7.379220147994108,2.7385290707774157,64.0,1
461.0,2.2104492802097186,4,7.559510153901923,5.116237488208522,100.0,1
463.0,0.1953406037204775,4,7.357061862559635,6.144341939285491,67.0,0
804.0,1.1970482670156908,8,7.571654532121028,14.07292722270551,77.0,0
382.0,1.3252467842991331,9,7.278581945707784,33.01422069165976,85.0,0
235.0,3.2846497206502607,24,7.415590480192523,5.526779980723021,64.0,1
383.0,4.472929756968278,8,7.919140445140347,5.765673295475588,61.0,0
531.0,2.237744322328397,3,7.700167394076026,19.129122240089,89.0,0
472.0,0.0158497665166194,6,7.640963066251939,6.039817102690358,60.0,0
596.0,0.1998988122701871,9,7.451150544558171,8.83233783401091,78.0,0
487.0,1.2357841191966006,3,7.604637645378093,1.6167145021619644,86.0,0
662.0,0.7675113476328076,3,7.417769204819649,23.51520938823452,83.0,0
637.0,4.062848446418957,2,7.259392872441437,3.0654841183723254,78.0,0
635.0,5.966660782396437,4,7.549594010798659,9.142221921232636,83.0,0
485.0,0.1254419762010358,6,7.504003063595772,4.107102308430862,75.0,0
500.0,0.3467625183911703,3,7.610356323173464,2.969135689926949,62.0,0
483.0,1.824544234650688,3,7.561278629887856,19.9419727874478,74.0,0
667.0,1.245180284804532,3,7.419883876446478,6.551770875971307,82.0,0
507.0,0.4126847247752916,4,7.404449551053237,1.5357548602664195,89.0,0
484.0,0.9140552974349844,1,7.55559413942404,1.6535745852343915,85.8158988071827,1
652.0,4.329979705918138,2,7.28817211990137,6.096114186638121,100.0,0
490.0,1.4236153465887094,5,7.492423197938996,4.7445892166950525,68.0,0
376.0,2.513328387418265,6,7.584133455674346,8.686238257452112,83.0,0
463.0,4.386462359890616,5,7.606138770947218,2.665367229875088,75.8158988071827,1
892.0,1.1237028184182032,8,7.55696238430503,8.785405811787445,80.0,0
